002004,华邦健康,HBJK
002005,ST德豪,STDH
002006,精工科技,JGKJ
002007,华兰生物,HLSW
002008,大族激光,DZJG
002009,天奇股份,TQGF
002010,传化智联,CHZL
002011,盾安环境,DAHJ
002012,凯恩股份,KEGF
002014,永新股份,YXGF
002015,协鑫能科,XXNK
002016,世荣兆业,SRZY
002017,东信和平,DXHP
002019,亿帆医药,YFYY
002020,京新药业,JXYY
002021,*ST中捷,STZJ
002022,科华生物,KHSW
002023,海特高新,HTGX
002024,ST易购,STYG
002025,航天电器,HTDQ
002026,山东威达,SDWD
002027,分众传媒,FZCM
002028,思源电气,SYDQ
002029,七匹狼,QPL
002030,达安基因,DAJY
002031,巨轮智能,JLZN
002032,苏泊尔,SBE
002033,丽江股份,LJGF
002034,旺能环境,WNHJ
002035,华帝股份,HDGF
002036,联创电子,LCDZ
002037,保利联合,BLLH
002038,双鹭药业,SLYY
002039,黔源电力,QYDL
002040,南京港,NJG
002041,登海种业,DHZY
002042,华孚时尚,HFSS
002043,兔宝宝,TBB
002044,美年健康,MNJK
002045,国光电器,GGDQ
002046,国机精工,GJJG
002047,宝鹰股份,BYGF
002048,宁波华翔,NBHX
002049,紫光国微,ZGGW
002050,三花智控,SHZK
002051,中工国际,ZGGJ
002052,ST同洲,STTZ
002053,云南能投,YNNT
002054,德美化工,DMHG
002055,得润电子,DRDZ
002056,横店东磁,HDDC
002057,中钢天源,ZGTY
002058,威尔泰,WET
002059,云南旅游,YNLY
002060,粤水电,YSD
002061,浙江交科,ZJJK
002062,宏润建设,HRJS
002063,远光软件,YGRJ
002064,华峰化学,HFHX
002065,东华软件,DHRJ
002066,瑞泰科技,RTKJ
002067,景兴纸业,JXZY
002068,黑猫股份,HMGF
002069,ST獐子岛,STZZD
002072,凯瑞德,KRD
002073,软控股份,RKGF
002074,国轩高科,GXGK
002075,沙钢股份,SGGF
002076,雪莱特,XLT
002077,大港股份,DGGF
002078,太阳纸业,TYZY
002079,苏州固锝,SZGD
002080,中材科技,ZCKJ
